# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: /home/baunilha/Repositories/PCS3635/experiment_06/circuito_exp6/jogo_desafio_memoria.csv
# Generated on: Sun Feb  9 10:38:04 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
botoes[0],Input,PIN_K22,5B,B5B_N0,PIN_AA7,,,,,,,,,,,,,,
botoes[1],Input,PIN_M21,5B,B5B_N0,PIN_T8,,,,,,,,,,,,,,
botoes[2],Input,PIN_R22,5A,B5A_N0,PIN_V9,,,,,,,,,,,,,,
botoes[3],Input,PIN_T22,5A,B5A_N0,PIN_R12,,,,,,,,,,,,,,
clock,Input,PIN_B16,7A,B7A_N0,PIN_M16,,,,,,,,,,,,,,
db_chavesIgualMemoria,Output,PIN_W2,2A,B2A_N0,PIN_W9,,,,,,,,,,,,,,
db_clock,Output,PIN_AA2,2A,B2A_N0,PIN_B7,,,,,,,,,,,,,,
db_contagem[0],Output,PIN_U21,4A,B4A_N0,PIN_Y10,,,,,,,,,,,,,,
db_contagem[1],Output,PIN_V21,4A,B4A_N0,PIN_P9,,,,,,,,,,,,,,
db_contagem[2],Output,PIN_W22,4A,B4A_N0,PIN_AB8,,,,,,,,,,,,,,
db_contagem[3],Output,PIN_W21,4A,B4A_N0,PIN_N8,,,,,,,,,,,,,,
db_contagem[4],Output,PIN_Y22,4A,B4A_N0,PIN_V6,,,,,,,,,,,,,,
db_contagem[5],Output,PIN_Y21,4A,B4A_N0,PIN_R11,,,,,,,,,,,,,,
